,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
315,@FoxNews,0.7096,Sun Mar 25 23:06:00 +0000 2018,0.076,0.583,0.341,"Rapper @KillerMike, who endorsed @BernieSanders for president, ripped supporters of the school walkouts in favor of… https://t.co/8fOlVJkH8b",316
316,@FoxNews,-0.7906,Sun Mar 25 23:03:19 +0000 2018,0.5,0.5,0.0,OPINION: Palestinian civil war causes suffering in Gaza https://t.co/lKbIyqmmDF,317
317,@FoxNews,-0.4019,Sun Mar 25 22:56:36 +0000 2018,0.114,0.886,0.0,".@KellyannePolls on spending bill: ""This is a town that not so long ago was mocking the very idea of a wall, and no… https://t.co/dpgeAaYylg",318
318,@FoxNews,-0.5267,Sun Mar 25 22:46:36 +0000 2018,0.221,0.779,0.0,Man sucker punches 5-year-old in face on New York City subway: cops https://t.co/mImKuby4BO,319
319,@FoxNews,0.0,Sun Mar 25 22:36:48 +0000 2018,0.0,1.0,0.0,"The @BlueAngels took to the sky in Kingsville, Texas for the Wings Over South Texas Air Show. #ProudAmerican https://t.co/I6NjuuPj4f",320
320,@FoxNews,0.0,Mon Mar 26 00:39:04 +0000 2018,0.0,1.0,0.0,Sister Jean says there must be 'limitations' to spend time with Charles Barkley https://t.co/mDVuGRGPXA,321
321,@FoxNews,-0.4019,Mon Mar 26 00:35:55 +0000 2018,0.231,0.769,0.0,Dramatic South Carolina school bus crash caught on camera https://t.co/wc8ZoUldOn,322
322,@FoxNews,0.0,Mon Mar 26 00:30:32 +0000 2018,0.0,1.0,0.0,"#MarchForOurLives DC Crowd Smaller than Organizers' Estimates, Imaging Company Says https://t.co/MuGS1KP5j9",323
323,@FoxNews,0.4215,Mon Mar 26 00:26:35 +0000 2018,0.0,0.811,0.189,"On ""@WattersWorld,"" @KellyannePolls discussed the progress President @realDonaldTrump's administration has made in… https://t.co/wYp5gsdWrp",324
324,@FoxNews,-0.5859,Mon Mar 26 00:20:29 +0000 2018,0.213,0.787,0.0,".@JudgeJeanine: ""The omnibus bill that Republicans gave President @realDonaldTrump [Friday] is a total betrayal of… https://t.co/MlIoRAV5sk",325
